Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
About You,Being Funny In a Foreign Language,The 1975,10/14/2022,GBK3W2202321,"2,506",28.3,350348521,48286.0,"23,268,627",75.0,63111604,"494,666","117,002","112,061,372",793536731,"2,197,815",32.0,"27,952",5,5.0,"224,543",16.0,1164726,818,"446,223","508,585",,0
BED,BED,Joel Corry,2/26/2021,UK4ZF2100069,"2,512",28.3,480737112,91401.0,"37,879,799",66.0,55185277,"280,740","90,700","11,811,407",149754997,"1,432,752",185.0,"199,418",60,124.0,"487,788",36.0,6887843,"1,178",,"2,464,219",,0
23,23,Chayce Beckham,5/14/2021,QMRSZ2101045,"2,511",28.3,217524988,52661.0,"12,543,368",69.0,84504714,"547,950","20,410","1,883,404",21694150,"566,879,139",23.0,"165,757",,1.0,577,20.0,99882249,"21,221","4,858,338","1,269,712",,0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401053,"2,525",28.2,250430303,648.0,"818,594",,0,,,,0,,55.0,,,0.0,,0.0,0,,,,,0
Andas En Mi Cabeza,Bachatas Mix,Chino & Nacho,4/22/2017,FR2X41775359,"2,522",28.2,0,0.0,,,1820176345,"4,950,177",,,0,"316,643,997",0.0,,,0.0,,0.0,0,,,,,0
Remember,Club House,Becky Hill,4/23/2021,GBUM72102420,"2,529",28.2,453644642,78241.0,"59,982,572",67.0,68753113,"442,500","14,109","6,520,234",86516663,"1,081,753,404",135.0,"227,360",583,64.0,"505,344",27.0,3974042,"1,957",,"1,721,093",,0
Here's Your Perfect,Here's Your Perfect,Jamie Miller,4/30/2021,USAT22101294,"2,523",28.2,418998816,42598.0,"8,678,739",69.0,349432726,"3,317,953","810,145","216,927,258",1962424177,"1,152,785,855",40.0,"19,753",,6.0,"6,309",0.0,1401958,"1,877",,"1,072,765",,0
Highs & Lows,Highs & Lows,Prinz,6/2/2023,GBARL2300644,"2,530",28.2,64747926,19758.0,"4,733,486",63.0,30831455,"515,719","726,042","24,154,119",304170641,"848,300",4.0,756,,8.0,"81,597",2.0,476637,"6,463",,"434,423",,0
SurvivorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s R,SurvivorÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½s R,Roddy Ricch,5/31/2024,USAT22403043,"2,535",28.2,4462637,789.0,"28,882,654",66.0,2244519,"116,431",,,0,"20,570,003",27.0,134,20,7.0,"1,298,626",29.0,703876,89,"252,183","49,126",,1
Halloween,Halloween,Blood Dance,10/6/2022,CAENV2255241,"2,534",28.2,7332,45.0,"1,692",2.0,416430705,"7,483,560",,,0,,0.0,1,,0.0,,0.0,0,,,152,,0
Impossible,Impossible - Single,RIIZE,4/18/2024,KRA302400078,"2,533",28.2,16327372,987.0,"16,575,491",69.0,29637408,"364,827","5,892","11,035,987",64226700,,21.0,291,30,6.0,"21,219",25.0,19003,18,,"39,544",,0
